Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(kWh),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),1 ZONE VAV 1 CLG COIL(W),1 ZONE VAV CLG COIL(W),BUILDING STORY 2 THERMALZONE PTAC 1SPD DX AC CLG COIL 1796KBTU/HR 9.3EER(W),1 ZONE VAV 1 MAIN HTG COIL(W),1 ZONE VAV MAIN HTG COIL(W),BUILDING STORY 1 THERMALZONE REHEAT COIL(W),BUILDING STORY 3 THERMALZONE REHEAT COIL(W),HOT WATER LOOP WATER HTG COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2017/02/18 17:00:00,790.109986028239,0,1408.2157873435642,79.94825105200987,0.0,193.41992021700597,0.0,348.1555726844418,114.75473240193962,21.497462776838734,30.645749679447903,1.6882972165552468,0,766.3277866054772,180.34500216884186,461.5429985692455,0,0,0,0,0,0,0,0,0,0,31899.740483862377,124553.20993882469,11907.891111181549,0.0,0.0,94220.59600958056,42590.143895291105,0.0,0,0,790.109986028239,790.109986028239,0.0,877.899984475821,0.0,790.109986028239,877.899984475821,0,0
2017/02/18 18:00:00,744.6708234799071,0,1326.924161116684,50.155819728140045,0.0,193.41992021700597,0.0,341.80855169081605,111.70924123061147,21.463254094212324,24.98525263213062,1.1287838869907687,0,700.7176545262358,164.66350802120266,461.5429985692455,0,0,0,0,0,0,0,0,0,0,0.0,100374.94639383815,0.0,0.0,0.0,113248.09120099043,0.0,0.0,0,0,744.6708234799071,744.6708234799071,0.0,827.4120260887856,0.0,744.6708234799071,827.4120260887856,0,0
2017/02/18 19:00:00,529.3214684446956,0,1660.5273511355877,46.58348496668782,0.0,104.77486008181823,22.45788663456448,203.3100401936399,111.70924123061147,21.765295073002484,17.679536753113325,1.0411235112579056,0,1252.033257325849,153.87080869091744,254.6232851188211,0,0,0,0,0,0,0,0,0,0,0.0,93954.43351356193,0.0,0.0,0.0,200594.67131323123,0.0,0.0,0,0,529.3214684446956,529.3214684446956,0.0,588.1349649385506,0.0,529.3214684446956,588.1349649385506,0,0
2017/02/18 20:00:00,525.9401792655341,0,1114.1826629720902,72.40371426948951,0.0,104.77486008181823,22.45788663456448,199.86503975856948,94.68631964595063,12.903882049024611,17.312857823485082,1.5356190026320136,0,708.4958333032914,151.06354454997748,254.6232851188211,0,0,0,0,0,0,0,0,0,0,23817.891345875174,260449.0724087853,0.0,0.0,0.0,100758.78619437941,32865.440985441586,0.0,0,0,525.9401792655341,525.9401792655341,0.0,584.3779769617046,0.0,525.9401792655341,584.3779769617046,0,0
2017/02/18 21:00:00,411.91884275231297,0,406.2685356550226,0.0,0.0,104.77486008181823,22.45788663456448,199.86503975856948,68.41783649036303,0.007999582963137767,16.395220204034604,0.0,0,0.0,151.64525053620153,254.6232851188211,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,411.91884275231297,411.91884275231297,0.0,457.6876030581255,0.0,411.91884275231297,457.6876030581255,0,0
2017/02/18 22:00:00,611.8792426003167,0,1813.7371635442325,128.5871410836313,0.0,104.77486008181823,22.45788663456448,199.86503975856948,114.75473240193958,22.219953448018835,16.4090563855764,2.8105728061983033,0,1405.816799762663,153.2970786627484,254.6232851188211,0,0,0,0,0,0,0,0,0,0,72046.11634968373,450967.5037396358,0.0,0.0,0.0,181921.61346602085,96011.48438471297,0.0,0,0,611.8792426003167,611.8792426003167,0.0,679.865825111463,0.0,611.8792426003167,679.865825111463,0,0
2017/02/18 23:00:00,413.41260601373597,0,404.0466371536057,0.0,0.0,104.77486008181823,22.45788663456448,199.86503975856948,68.41783649036302,0.007999582963137769,17.88898346545764,0.0,0,0.0,149.42335203478456,254.6232851188211,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,413.41260601373597,413.41260601373597,0.0,459.34734001526215,0.0,413.41260601373597,459.34734001526215,0,0
2017/02/19 00:00:00,612.8426268085154,0,1973.5408069265504,129.28610739270775,0.0,104.77486008181823,22.45788663456448,199.86503975856948,114.75473240193962,22.258998103309338,16.6866422197703,2.7583602158363743,0,1563.4203422871851,155.49717952054425,254.6232851188211,0,0,0,0,0,0,0,0,0,0,71790.90630976605,458502.598541318,0.0,0.0,0.0,190554.8528140439,112351.92836931713,0.0,0,0,612.8426268085154,612.8426268085154,0.0,680.9362520094616,0.0,612.8426268085154,680.9362520094616,0,0
2017/02/19 01:00:00,381.36424073607077,0,338.36266324826585,0.0,0.0,99.40399673054809,19.9584135176345,177.1794200402153,68.417836490363,0.007999582963137826,16.396574374346883,0.0,0,0.0,147.39519940915008,190.96746383911582,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,381.36424073607077,381.36424073607077,0.0,423.73804526230083,0.0,381.36424073607077,423.73804526230083,0,0
2017/02/19 02:00:00,583.2737125080745,0,2211.6099673890403,129.8417350197584,0.0,99.40399673054809,19.9584135176345,177.1794200402153,114.75473240193962,22.486570950287007,16.93687001161227,2.711973836079399,0,1863.102253428252,157.54025012167182,190.96746383911582,0,0,0,0,0,0,0,0,0,0,70495.76611713393,465863.5728452171,0.0,0.0,0.0,231680.70389789058,126196.65333929392,0.0,0,0,583.2737125080745,583.2737125080745,0.0,648.0819027867494,0.0,583.2737125080745,648.0819027867494,0,0
